[INFO] Experiment mode is :  ON
[INFO] ODE function :  ext_laplacian3
[INFO] Block type :  attention
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.001
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
Clipping Bound =  0.4
Alpha =  3.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 001/100, Runtime 0.592705, Loss 1.100699, forward nfe 38, backward nfe 19, Train: 0.7000, Val: 0.5347, Test: 0.5494, Best time: 0.3345
/home/administrator/anaconda3/envs/grand/lib/python3.7/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/administrator/anaconda3/envs/grand/lib/python3.7/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/administrator/anaconda3/envs/grand/lib/python3.7/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 0.637735, Loss 1.103259, forward nfe 252, backward nfe 45, Train: 0.7000, Val: 0.5347, Test: 0.5494, Best time: 128.0000
Epoch: 003/100, Runtime 0.437620, Loss 1.102008, forward nfe 460, backward nfe 71, Train: 0.6833, Val: 0.5799, Test: 0.5817, Best time: 4.4099
Epoch: 004/100, Runtime 0.646047, Loss 1.089448, forward nfe 584, backward nfe 103, Train: 0.8167, Val: 0.6417, Test: 0.6535, Best time: 4.4545
Epoch: 005/100, Runtime 2.442905, Loss 1.069749, forward nfe 786, backward nfe 392, Train: 0.8167, Val: 0.6417, Test: 0.6535, Best time: 128.0000
Epoch: 006/100, Runtime 1.831456, Loss 1.028709, forward nfe 1006, backward nfe 592, Train: 0.8833, Val: 0.6715, Test: 0.6704, Best time: 20.0487
Epoch: 007/100, Runtime 2.487251, Loss 0.967036, forward nfe 1226, backward nfe 854, Train: 0.9500, Val: 0.7271, Test: 0.7389, Best time: 16.6099
