[INFO] Experiment mode is :  ON
[INFO] ODE function :  laplacian
[INFO] Block type :  attention
[INFO] T value :  128.0
[INFO] L1 regularization on :  False
[INFO] L1 reg coefficient :  0.001
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/administrator/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001, Runtime 1.105339, Loss 1.947708, forward nfe 236, backward nfe 0, Train: 0.1214, Val: 0.3059, Test: 0.2741, Best time: 330.9180
Epoch: 002, Runtime 1.062433, Loss 2.033252, forward nfe 1092, backward nfe 0, Train: 0.1214, Val: 0.3059, Test: 0.2741, Best time: 128.0000
Epoch: 003, Runtime 1.064152, Loss 1.981830, forward nfe 1948, backward nfe 0, Train: 0.1214, Val: 0.3059, Test: 0.2741, Best time: 128.0000
Epoch: 004, Runtime 1.054860, Loss 1.944535, forward nfe 2798, backward nfe 0, Train: 0.1214, Val: 0.3059, Test: 0.2741, Best time: 128.0000
Epoch: 005, Runtime 1.073406, Loss 1.896474, forward nfe 3660, backward nfe 0, Train: 0.4143, Val: 0.3559, Test: 0.3462, Best time: 1.9222
Epoch: 006, Runtime 1.056261, Loss 1.866188, forward nfe 4516, backward nfe 0, Train: 0.4143, Val: 0.3559, Test: 0.3462, Best time: 128.0000
Epoch: 007, Runtime 1.066963, Loss 1.800330, forward nfe 5378, backward nfe 0, Train: 0.4143, Val: 0.3559, Test: 0.3462, Best time: 128.0000
Epoch: 008, Runtime 1.061031, Loss 1.753653, forward nfe 6234, backward nfe 0, Train: 0.4857, Val: 0.3647, Test: 0.3685, Best time: 75.8860
Epoch: 009, Runtime 1.065959, Loss 1.640776, forward nfe 7084, backward nfe 0, Train: 0.5857, Val: 0.6801, Test: 0.6629, Best time: 44.3398
Epoch: 010, Runtime 1.206846, Loss 1.542693, forward nfe 7928, backward nfe 0, Train: 0.5857, Val: 0.6801, Test: 0.6629, Best time: 128.0000
Epoch: 011, Runtime 1.050323, Loss 1.425441, forward nfe 8778, backward nfe 0, Train: 0.5857, Val: 0.6801, Test: 0.6629, Best time: 128.0000
Epoch: 012, Runtime 1.047366, Loss 1.312956, forward nfe 9622, backward nfe 0, Train: 0.5857, Val: 0.6801, Test: 0.6629, Best time: 128.0000
Epoch: 013, Runtime 1.034195, Loss 1.205779, forward nfe 10466, backward nfe 0, Train: 0.8214, Val: 0.7397, Test: 0.7452, Best time: 67.8255
Epoch: 014, Runtime 1.051964, Loss 1.099879, forward nfe 11310, backward nfe 0, Train: 0.8071, Val: 0.7838, Test: 0.7716, Best time: 109.7580
Epoch: 015, Runtime 1.036204, Loss 0.967331, forward nfe 12148, backward nfe 0, Train: 0.8071, Val: 0.7838, Test: 0.7716, Best time: 128.0000
Epoch: 016, Runtime 1.033462, Loss 1.031497, forward nfe 12986, backward nfe 0, Train: 0.8071, Val: 0.7838, Test: 0.7716, Best time: 128.0000
Epoch: 017, Runtime 1.023502, Loss 0.927449, forward nfe 13818, backward nfe 0, Train: 0.8429, Val: 0.7919, Test: 0.7868, Best time: 113.8557
Epoch: 018, Runtime 1.031461, Loss 0.861455, forward nfe 14650, backward nfe 0, Train: 0.8429, Val: 0.7919, Test: 0.7868, Best time: 128.0000
Epoch: 019, Runtime 1.029480, Loss 0.907374, forward nfe 15482, backward nfe 0, Train: 0.8429, Val: 0.7919, Test: 0.7868, Best time: 128.0000
Epoch: 020, Runtime 1.023480, Loss 0.821655, forward nfe 16308, backward nfe 0, Train: 0.8429, Val: 0.7919, Test: 0.7868, Best time: 128.0000
Epoch: 021, Runtime 1.024624, Loss 0.771895, forward nfe 17140, backward nfe 0, Train: 0.8429, Val: 0.7919, Test: 0.7868, Best time: 128.0000
Epoch: 022, Runtime 1.006529, Loss 0.776363, forward nfe 17966, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 160.9291
Epoch: 023, Runtime 0.987994, Loss 0.701717, forward nfe 18780, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 024, Runtime 1.000686, Loss 0.759288, forward nfe 19582, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 025, Runtime 0.976401, Loss 0.685824, forward nfe 20384, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 026, Runtime 0.966660, Loss 0.743823, forward nfe 21180, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 027, Runtime 0.965873, Loss 0.744440, forward nfe 21964, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 028, Runtime 0.965651, Loss 0.757553, forward nfe 22748, backward nfe 0, Train: 0.8214, Val: 0.8066, Test: 0.8051, Best time: 128.0000
Epoch: 029, Runtime 0.947736, Loss 0.759358, forward nfe 23520, backward nfe 0, Train: 0.8500, Val: 0.8125, Test: 0.8030, Best time: 146.9965
Epoch: 030, Runtime 0.951166, Loss 0.631129, forward nfe 24286, backward nfe 0, Train: 0.8500, Val: 0.8125, Test: 0.8030, Best time: 128.0000
Epoch: 031, Runtime 0.931981, Loss 0.719811, forward nfe 25052, backward nfe 0, Train: 0.8500, Val: 0.8125, Test: 0.8030, Best time: 128.0000
Epoch: 032, Runtime 0.934732, Loss 0.675443, forward nfe 25812, backward nfe 0, Train: 0.8500, Val: 0.8125, Test: 0.8030, Best time: 128.0000
Epoch: 033, Runtime 0.920886, Loss 0.622181, forward nfe 26560, backward nfe 0, Train: 0.8500, Val: 0.8125, Test: 0.8030, Best time: 128.0000
